nonordfp_all bms1.dat 80 0.10 0.08 0.01 22433729 17449820 3720 1864
fp-zhu_maximal chess.dat 400 62.16 58.47 3.58 75199356887 111719194 2184 1543815
apriori-borgelt_all connect.dat 50000 23.82 23.72 0.09 47189422 47116426 2088 1928336
ABS_maximal pumsb-star.dat 17500 5.73 5.52 0.07 18736849 12761335 9304 162
fpgrowth-tiny_all accidents.dat 238000 6.98 6.80 0.05 149814516 226308 5944 532
DCI-Closed_closed pumsb.dat 35000 2.04 1.84 0.12 7700792 4478354 1336 194539
MAFIA_maximal T10I4D100K.dat 100 8.18 7.91 0.10 70499264 48749512 1720 0
DCI-Closed_closed T10I4D100K.dat 1000 0.38 0.31 0.04 5664164 5616688 1272 386
afopt_maximal chess.dat 500 44.03 43.06 0.32 261576778 87607674 43080 952812
eclat-borgelt_maximal T40I10D100K.dat 700 33.48 33.34 0.13 1147114895 33540875 1648 41473
MAFIA_maximal T40I10D100K.dat 1000 13.36 13.23 0.12 134379672 48099432 2104 0
fpgrowth-tiny_all T40I10D100K.dat 600 116.83 114.48 1.44 4785560060 131779064 22872 1024926
DCI-Closed_closed T40I10D100K.dat 1000 7.15 7.00 0.16 13853612 11909460 1448 65237
eclat-borgelt_maximal T40I10D100K.dat 300 149.67 149.38 0.21 4931657823 37097799 1808 178235
afopt_all retail.dat 200 0.64 0.50 0.00 8826808 8669542 8816 2192
eclat-borgelt_all T10I4D100K.dat 500 3.52 3.46 0.04 13446153 9143737 524 1074
nonordfp_all T10I4D100K.dat 800 1.37 1.27 0.08 79804001 54864228 3720 495
afopt_closed T10I4D100K.dat 800 0.62 0.55 0.02 11473492 9564890 8816 495
MAFIA_all T10I4D100K.dat 300 11.80 11.65 0.09 63396824 41663200 664 1
apriori-bodon_all T10I4D100K.dat 800 0.73 0.70 0.02 6941424 6919088 1532 495
LCM_closed T10I4D100K.dat 500 0.77 0.73 0.03 38918826 11324214 8896 1074
apriori-borgelt_maximal T40I10D100K.dat 1000 11.93 11.75 0.13 54797926 38282034 2408 21692
apriori-borgelt_maximal T40I10D100K.dat 300 447.49 446.51 0.61 611689730 411312346 2536 178235
afopt_all accidents.dat 238000 4.41 4.11 0.11 4799002 4755214 8812 532
afopt_maximal accidents.dat 306000 2.73 2.66 0.07 176526 135798 8812 1
eclat-borgelt_maximal T10I4D100K.dat 200 4.43 4.40 0.02 22497537 9473481 928 1938
ABS_maximal T40I10D100K.dat 300 476.44 474.69 1.52 1255672260 423254038 2984 178235
apriori-borgelt_all T40I10D100K.dat 400 244.43 243.97 0.33 382196269 204574881 2408 1973396
eclat-goethals_all kosarak.dat 10000 5.01 4.86 0.14 287756248 52091832 1708 377
MAFIA_all T40I10D100K.dat 1000 34.32 34.19 0.12 131768348 45618924 664 1
eclat-goethals_all bms2.dat 70 2.66 2.63 0.00 22868112 3402568 3304 61890
afopt_all pumsb.dat 40000 1.88 1.82 0.01 4812522 4762282 8812 79814
apriori-goethals_all pumsb.dat 40000 394.74 394.38 0.27 580854385 2153192 2792 79814
fpgrowth-goethals_all T40I10D100K.dat 500 266.73 263.72 2.82 19626617470 297906324 3836 1286038
afopt_all T40I10D100K.dat 900 9.09 9.04 0.06 93057868 21612294 8816 347694
fp-zhu_maximal T10I4D100K.dat 400 1.11 1.08 0.01 18847974 17900298 664 761
fp-zhu_closed T40I10D100K.dat 1000 8.12 7.80 0.31 301779936 88231745 1192 65236
apriori-goethals_all connect.dat 65000 8.33 8.27 0.04 206232420 44620 1896 916
fpgrowth-goethals_all T10I4D100K.dat 800 4.44 4.34 0.11 305868617 47150220 1340 495
MAFIA_maximal T10I4D100K.dat 1000 1.92 1.86 0.05 44031352 22585652 824 0
apriori-goethals_all bms1.dat 50 0.95 0.92 0.02 11156928 6738956 2120 8192
fpgrowth-goethals_all connect.dat 30000 343.71 343.53 0.03 29456969278 809824 1916 188117390
fpgrowth-goethals_all pumsb-star.dat 20000 3.42 3.37 0.03 250858910 6186072 1964 21335
apriori-goethals_all bms2.dat 70 5.92 5.80 0.12 41306420 22093000 3016 61890
afopt_all connect.dat 55000 2.03 2.02 0.01 4775830 4733542 8812 375384
fpgrowth-goethals_all T40I10D100K.dat 400 5570.65 342.90 12.79 24929113614 298528568 3836 1973396
eclat-goethals_all chess.dat 2500 0.21 0.08 0.01 12969132 698196 2856 11494
fpgrowth-tiny_all T40I10D100K.dat 400 3667.92 179.24 11.35 7879297640 132314240 22872 1973396
eclat-borgelt_all T10I4D100K.dat 900 2.47 2.39 0.03 11899669 8584701 284 422
fpgrowth-goethals_all connect.dat 55000 3.71 3.56 0.04 285430854 93636 1436 375384
MAFIA_maximal T40I10D100K.dat 200 97.33 96.94 0.21 189841876 100395556 2872 0
eclat-goethals_all T40I10D100K.dat 600 54.00 53.72 0.07 11073060716 22990360 4776 1.02493e+06
eclat-goethals_all pumsb.dat 37500 5.43 5.34 0.05 978777312 21288328 3544 444668
afopt_all bms1.dat 40 0.26 0.24 0.01 6577100 6204230 8816 48544
afopt_all T10I4D100K.dat 700 0.61 0.60 0.01 9495036 9440894 8816 604
afopt_maximal T40I10D100K.dat 300 26.67 26.61 0.07 340762268 23506134 38776 178235
fpgrowth-goethals_all pumsb.dat 25000 858.95 857.48 1.39 70576268464 12758248 2588 128028883
afopt_all accidents.dat 136000 6.27 6.02 0.12 19751646 13570678 8812 32623
eclat-borgelt_all T40I10D100K.dat 500 46.46 46.21 0.25 2089833747 33052583 1484 1286038
afopt_all pumsb.dat 45000 1.57 1.54 0.03 4806970 4761746 8812 1164
afopt_closed accidents.dat 204000 4.18 4.12 0.04 9159936 7747752 8812 2090
eclat-goethals_all retail.dat 200 2.44 2.40 0.01 29987604 6216584 1708 2192
fp-zhu_maximal T10I4D100K.dat 600 0.98 0.92 0.04 16765792 16578252 552 511
eclat-lst_all T40I10D100K.dat 300 137.31 136.58 0.67 2168729468 123400060 1208 5058313
apriori-goethals_all T40I10D100K.dat 800 284.06 283.42 0.64 690999208 20205876 4360 478375
fp-zhu_closed accidents.dat 170000 3.87 3.22 0.18 8823401 4494484 936 8088
MAFIA_all pumsb-star.dat 25000 1.19 1.08 0.06 58851632 12364736 664 1
ct-pro_all bms2.dat 80 0.83 0.77 0.04 34736864 20103220 2200 43352
nonordfp_all pumsb-star.dat 12500 1.73 1.44 0.06 45259565 31257840 8136 1744792
fp-zhu_closed bmspos.dat 500 7.08 6.83 0.18 366814895 39515760 936 131246
DCI-Closed_closed mushroom.dat 400 0.22 0.19 0.01 2091947 1576504 1336 13130
eclat-lst_all accidents.dat 238000 1.49 0.76 0.19 101865516 72706640 504 532
eclat-lst_all mushroom.dat 1500 0.12 0.10 0.00 14045748 9390800 696 56694
fp-zhu_maximal accidents.dat 136000 3.67 3.60 0.06 14921608 10793310 1336 749
LCM_all mushroom.dat 1000 0.23 0.17 0.02 7933732 1664404 1104 123278
aim_all bmspos.dat 4000 2.31 2.05 0.13 53417850 28058786 8928 3566
DCI-Closed_closed bmspos.dat 3000 3.18 3.02 0.15 17280328 15625280 1464 3117
LCM_closed mushroom.dat 200 0.36 0.31 0.05 41792368 2624780 1744 26969
LCM_closed kosarak.dat 4000 4.18 3.60 0.20 245101562 70476186 8896 2469
apriori-borgelt_all pumsb-star.dat 22500 1.61 1.47 0.04 10973137 10972773 2152 1538
fp-zhu_all retail.dat 75 2.41 2.26 0.07 28318659 24473931 424 9634
eclat-borgelt_all mushroom.dat 1500 0.22 0.20 0.01 30125940 871640 1244 56694
fp-zhu_closed pumsb.dat 37500 1.87 1.82 0.02 41560400 2443638 1128 75001
fp-zhu_closed retail.dat 150 1.41 1.40 0.02 15369307 11445313 408 3501
LCM_all bms1.dat 36 0.60 0.53 0.04 16909102 3180966 8880 461522
LCM_all webdocs.dat 200000 185.03 149.24 10.17 7031259406 651274078 8880 58297
eclat-borgelt_closed bms2.dat 90 2.69 2.56 0.11 17100234 5124146 1088 15473
LCM_closed pumsb-star.dat 22500 0.81 0.58 0.05 17250704 7118464 1040 560
eclat-borgelt_all accidents.dat 272000 3.83 3.47 0.17 53025216 49876368 524 150
